property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,total_capacity,bedrooms_per_accommodates,bathrooms_per_accommodates,review_activity_ratio,host_experience_days,days_since_last_review,review_scores_consistency,booking_pressure,description_length,amenities_count
Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,,,f,1.0,1.0,35.50801,27.21616,t,28,58,88,178,2,0,0,4.0,4.0,4.5,3.5,0.12,100.0,6.0,0.0,0.25,0.0006382978723404,1062.0,142.0,0.408248290463863,187,490,4
Private room in home,Private room,4,1.0,1.0,2.0,within an hour,100%,t,2.0,3.0,32.81613,-117.1618,t,13,17,17,17,41,41,4,4.98,5.0,4.8,4.93,6.47,77.0,8.0,0.2,0.2,0.018538681948424,2118.0,-342.0,0.089953691790091,348,488,38
Private room in rental unit,Private room,2,1.0,1.0,2.0,within a few hours,98%,f,126.0,195.0,1.34458,103.73395,t,29,59,89,269,0,0,0,,,,,,80.0,4.0,0.3333333333333333,0.3333333333333333,,1547.0,,,96,504,14
Entire loft,Entire home/apt,7,4.0,4.0,4.0,within a few hours,100%,t,2.0,2.0,48.87997,2.38903,t,9,10,10,38,42,3,0,4.88,4.64,4.79,4.79,0.5,375.0,28.0,0.5,0.5,0.0015243902439024,2712.0,-220.0,0.0994987437106621,327,479,57
Entire condo,Entire home/apt,3,1.0,1.0,1.0,,,f,1.0,4.0,43.64701,-79.39395,t,27,57,87,87,1,0,0,5.0,5.0,4.0,5.0,0.01,160.0,3.0,0.25,0.25,3.5842293906810036e-05,5138.0,1651.0,0.5,278,47,14
Private room in bed and breakfast,Private room,2,1.0,1.0,6.0,,,f,3.0,3.0,38.1581798,13.175378,t,28,58,88,352,3,3,0,5.0,5.0,5.0,5.0,0.35,72.0,12.0,0.3333333333333333,0.3333333333333333,0.0249999999999999,-86.0,-223.0,0.0,13,361,38
Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,within an hour,100%,t,7.0,7.0,35.51779,24.01553,t,30,60,90,276,12,12,0,4.67,4.83,5.0,4.83,2.05,85.0,3.0,0.25,0.25,0.0227777777777777,931.0,-314.0,0.1347528602046477,89,470,11
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,within an hour,98%,f,140.0,246.0,45.46085,9.1831,t,17,39,69,268,3,3,0,5.0,5.0,4.33,5.0,0.73,180.0,18.0,0.2857142857142857,0.1428571428571428,0.0074489795918367,2763.0,-407.0,0.3349999999999999,97,141,26
Entire rental unit,Entire home/apt,8,2.0,2.0,5.0,within an hour,100%,t,7.0,7.0,45.479089932351705,9.194913555073024,t,30,53,83,164,107,48,2,4.9,4.94,4.82,4.76,4.76,325.0,40.0,0.2222222222222222,0.2222222222222222,0.0235643564356435,964.0,-419.0,0.0806225774829857,201,510,50
Entire home,Entire home/apt,12,3.0,4.0,9.0,within an hour,100%,t,3.0,3.0,35.5952937675,-82.6606937534,t,25,55,85,257,8,8,0,5.0,5.0,5.0,5.0,0.82,457.0,108.0,0.3076923076923077,0.2307692307692307,0.0075229357798165,2665.0,-360.0,0.0,108,497,70
Entire vacation home,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,1.0,1.0,53.219006,-8.693309,t,23,53,83,358,90,36,0,4.92,4.98,4.82,4.81,3.0,95.0,2.0,0.3333333333333333,0.3333333333333333,0.375,580.0,-285.0,0.081802607945387,7,490,28
Entire home,Entire home/apt,3,2.0,3.0,2.0,within an hour,100%,f,1.0,1.0,37.41189,-122.12206,t,0,0,16,105,18,6,0,5.0,5.0,5.0,4.94,0.67,310.0,6.0,0.75,0.5,0.0025670498084291,2806.0,-326.0,0.0299999999999998,260,492,59
Entire villa,Entire home/apt,12,4.5,5.0,0.0,within a day,98%,f,758.0,962.0,36.439619340978574,28.208990722259703,t,0,0,0,145,0,0,0,,,,,,736.0,0.0,0.3846153846153846,0.3461538461538461,,658.0,,,220,330,12
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,f,3.0,3.0,41.008598,17.0036504,t,28,58,88,88,1,1,1,5.0,5.0,5.0,5.0,1.0,73.0,6.0,0.25,0.25,0.0035971223021582,-325.0,-360.0,0.0,277,491,29
Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,,,f,1.0,1.0,45.47928,9.22154,t,23,53,83,83,0,0,0,,,,,,95.0,4.0,0.2,0.2,,-190.0,,,282,417,21
Entire home,Entire home/apt,8,3.0,3.0,5.0,within an hour,99%,t,83.0,242.0,29.96682,-90.08666,t,18,40,66,156,9,9,0,4.56,4.67,4.56,4.56,0.9,169.0,40.0,0.3333333333333333,0.3333333333333333,0.0042857142857142,2534.0,-394.0,0.0550000000000001,209,489,34
Entire guest suite,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,t,1.0,1.0,37.77503,-122.45629,t,19,42,71,71,45,20,1,4.96,4.96,5.0,4.82,1.9,236.0,12.0,0.2,0.2,0.0064406779661016,2370.0,-413.0,0.0789514618821799,294,363,70
Entire home,Entire home/apt,10,3.0,4.0,8.0,within an hour,100%,t,3.0,3.0,33.34167,-118.32436,t,5,22,30,203,174,41,3,4.99,4.97,5.0,4.93,3.23,505.0,80.0,0.3636363636363636,0.2727272727272727,0.0198159509202454,1409.0,-419.0,0.0309569593683446,162,362,37
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,99%,f,12.0,14.0,48.13683,11.60849,t,0,0,0,0,726,99,8,4.7,4.75,4.78,4.66,6.73,107.0,8.0,0.4,0.2,0.0183879781420765,4514.0,-357.0,0.0531507290636732,365,224,42
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,t,10.0,10.0,52.50682186807835,13.39880551653292,t,28,49,76,148,4,4,1,5.0,5.0,5.0,4.75,1.4,168.0,8.0,0.2,0.2,0.0064220183486238,272.0,-334.0,0.125,217,344,27
Entire rental unit,Entire home/apt,7,2.0,2.0,3.0,a few days or more,14%,f,1.0,1.0,40.73844,-74.20877,t,27,57,87,362,5,0,0,5.0,5.0,4.6,5.0,0.32,189.0,21.0,0.25,0.25,0.08,2490.0,15.0,0.2000000000000001,3,514,50
Private room in rental unit,Private room,4,1.0,2.0,2.0,,,f,1.0,1.0,40.57942281758896,-73.95640552507665,t,29,59,89,364,0,0,0,,,,,,212.0,8.0,0.4,0.2,,921.0,,,1,407,6
Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,within a few hours,73%,f,239.0,243.0,22.22122,-159.47167,t,30,60,90,90,1,0,0,5.0,5.0,5.0,5.0,0.04,329.0,18.0,0.2857142857142857,0.2857142857142857,0.0001449275362318,688.0,274.0,0.0,275,59,25
Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,within a few hours,80%,f,83.0,86.0,40.74926,-73.97643,t,30,60,90,365,1,0,0,4.0,4.0,5.0,5.0,0.02,130.0,1.0,0.0,0.5,0.02,2484.0,1006.0,0.5773502691896257,0,493,23
Entire serviced apartment,Entire home/apt,6,2.0,2.0,2.0,within an hour,100%,f,58.0,76.0,1.2945864490836356,103.8380394171201,t,19,49,79,351,3,3,0,4.33,5.0,4.33,4.33,0.48,606.0,12.0,0.2857142857142857,0.2857142857142857,0.032,3689.0,-199.0,0.3349999999999999,14,348,24
Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,within an hour,100%,f,22.0,29.0,51.38786832689403,-0.2897029754684939,t,16,16,16,16,3,3,0,4.67,4.67,4.67,5.0,0.52,166.0,32.0,0.3333333333333333,0.2222222222222222,0.0014857142857142,1324.0,-293.0,0.165,349,555,23
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,100%,f,18.0,133.0,30.26058,-97.72066,t,28,58,88,178,1,1,0,3.0,3.0,4.0,3.0,0.1,118.0,2.0,0.3333333333333333,0.3333333333333333,0.000531914893617,2580.0,-133.0,0.5,187,488,41
Entire condo,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,t,1.0,1.0,20.72577,-156.44584,t,10,34,57,218,22,11,3,4.95,4.91,4.91,4.77,1.32,325.0,8.0,0.4,0.4,0.0089189189189189,224.0,-426.0,0.0789514618821803,147,499,76
Entire condo,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,t,6.0,6.0,41.12843,16.8713,t,10,26,54,329,181,110,9,4.76,4.63,4.93,4.7,9.03,54.0,8.0,0.4,0.2,0.244054054054054,2798.0,-356.0,0.1281925634868626,36,367,43
Entire vacation home,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,f,4.0,4.0,41.32035,16.29347,t,30,60,84,359,0,0,0,,,,,,112.0,12.0,0.2,0.2,,3980.0,,,6,205,49
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,91%,f,3.0,7.0,39.83927,3.12022,t,7,35,63,211,177,39,0,4.75,4.76,4.81,4.6,3.79,456.0,8.0,0.2,0.2,0.0244516129032258,4004.0,-303.0,0.0905538513813742,154,457,35
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,within an hour,100%,t,8.0,8.0,-34.0589131,151.1569258,t,28,58,88,271,0,0,0,,,,,,285.0,12.0,0.4,0.2,,567.0,,,94,314,44
Private room in condo,Private room,3,1.0,1.0,2.0,within an hour,100%,f,15.0,15.0,21.28196317523694,-157.82823503823172,t,16,37,61,277,23,5,0,4.57,4.48,4.87,4.48,0.92,142.0,6.0,0.25,0.25,0.0103370786516853,382.0,-305.0,0.1849324200890691,88,495,71
Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,within an hour,100%,t,3.0,3.0,51.45906,-2.565,t,12,42,72,252,102,14,0,4.87,4.69,4.62,4.82,1.28,75.0,6.0,0.5,0.25,0.0112280701754385,2750.0,-305.0,0.1151810169544732,113,416,55
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,2.0,2.0,-22.989640864303308,-43.43976375262977,t,0,0,26,206,2,2,0,5.0,5.0,5.0,5.0,0.17,656.0,2.0,0.3333333333333333,0.3333333333333333,0.0010625,1897.0,-230.0,0.0,159,36,11
Entire home,Entire home/apt,10,2.0,4.0,5.0,within an hour,100%,t,1.0,1.0,45.56977585751,-122.66108446624338,t,15,37,59,331,115,99,7,4.83,4.79,4.83,4.74,7.44,146.0,50.0,0.3636363636363636,0.1818181818181818,0.2125714285714285,1507.0,-420.0,0.0427200187265875,34,480,49
Private room in rental unit,Private room,2,2.0,1.0,1.0,within an hour,100%,f,9.0,9.0,53.34436,-6.28129,t,20,50,76,166,123,62,3,4.37,4.33,4.37,4.18,5.03,62.0,2.0,0.3333333333333333,0.6666666666666666,0.02515,1253.0,-330.0,0.0903234926989283,199,518,40
Entire home,Entire home/apt,6,3.0,3.0,3.0,,,f,1.0,1.0,34.09149,-118.60048,t,27,57,87,87,0,0,0,,,,,,300.0,18.0,0.4285714285714285,0.4285714285714285,,3872.0,,,278,433,29
Entire home,Entire home/apt,14,3.0,5.0,7.0,within an hour,100%,t,1.0,1.0,36.1851791,-115.0344354,t,14,31,50,225,5,5,0,4.8,4.8,4.4,4.4,0.86,499.0,98.0,0.3333333333333333,0.2,0.0060992907801418,-65.0,-300.0,0.23094010767585,140,483,51
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,within an hour,100%,f,35.0,53.0,48.85971,2.35399,t,5,21,50,230,46,46,3,4.63,4.72,4.98,4.59,4.38,195.0,18.0,0.2857142857142857,0.1428571428571428,0.0322058823529411,672.0,-321.0,0.175309250564063,135,301,33
