property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,total_capacity,bedrooms_per_accommodates,bathrooms_per_accommodates,review_activity_ratio,host_experience_days,days_since_last_review,review_scores_consistency,booking_pressure,description_length,amenities_count
Entire guesthouse,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,t,1.0,1.0,45.59464,-122.74913,t,24,44,70,153,221,29,1,5.0,4.99,4.95,4.91,2.67,125.0,8.0,0.2,0.2,0.0125352112676056,3849.0,-413.0,0.0411298755975101,212,478,47
Entire villa,Entire home/apt,12,1.0,2.0,6.0,within an hour,100%,f,576.0,1081.0,38.075361,13.083417,t,30,60,90,365,0,0,0,,,,,,235.0,72.0,0.1538461538461538,0.0769230769230769,,347.0,,,0,449,30
Private room in home,Private room,2,1.0,1.0,1.0,within a few hours,90%,f,1.0,2.0,51.53471943817509,-0.2360432254971674,t,0,0,0,94,12,12,4,4.67,5.0,4.83,4.75,5.37,55.0,2.0,0.3333333333333333,0.3333333333333333,0.0197426470588235,-4.0,-336.0,0.1410378199869335,271,387,11
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,f,1.0,4.0,43.6408455,-79.4143193,t,17,27,56,197,2,2,2,5.0,5.0,5.0,5.0,2.0,266.0,2.0,0.3333333333333333,0.3333333333333333,0.0118343195266272,3430.0,-398.0,0.0,168,302,54
Tent,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,t,6.0,6.0,52.32609,-9.27653,t,0,0,0,180,2,2,0,5.0,5.0,5.0,5.0,0.45,119.0,8.0,0.2,0.2,0.0024193548387096,2479.0,-216.0,0.0,185,498,9
Private room in rental unit,Private room,3,1.0,1.0,3.0,,,f,58.0,60.0,50.09220007150788,14.430020764842272,t,0,0,0,49,4,0,0,4.0,4.0,5.0,4.75,0.19,850.0,9.0,0.25,0.25,0.0005993690851735,576.0,133.0,0.5153882032022076,316,414,11
Entire guest suite,Entire home/apt,12,3.0,3.0,6.0,a few days or more,39%,f,14.0,16.0,40.06047,18.03908,t,0,0,0,153,0,0,0,,,,,,180.0,72.0,0.2307692307692307,0.2307692307692307,,3110.0,,,212,512,44
Entire home,Entire home/apt,8,2.0,4.0,5.0,within a few hours,100%,f,1.0,1.0,-37.72715,144.57482,t,0,0,0,34,15,15,0,4.6,4.8,4.93,4.6,1.38,223.0,40.0,0.4444444444444444,0.2222222222222222,0.004156626506024,63.0,-392.0,0.1619413474070165,331,108,44
Entire condo,Entire home/apt,4,2.0,1.0,2.0,within an hour,100%,f,93.0,95.0,20.7111803900566,-156.44349181840397,t,30,60,90,365,0,0,0,,,,,,217.0,8.0,0.2,0.4,,2506.0,,,0,468,25
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,t,1.0,1.0,-26.41686,152.9118,t,16,37,55,63,193,50,1,4.94,4.95,4.94,4.92,3.05,113.0,6.0,0.25,0.25,0.01006600660066,1499.0,-411.0,0.012583057392118,302,496,43
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,90%,t,3.0,3.0,19.4118,-99.14451,t,11,11,37,127,55,12,1,4.82,4.44,4.89,4.8,0.63,350.0,2.0,0.3333333333333333,0.3333333333333333,0.0026359832635983,2424.0,-342.0,0.2020519735117672,238,374,42
Private room in home,Private room,1,1.0,1.0,1.0,a few days or more,33%,f,1.0,1.0,43.65717,-79.36724,t,30,60,90,365,36,1,0,5.0,4.75,4.86,5.0,0.39,60.0,1.0,0.5,0.5,0.39,2341.0,-293.0,0.1212091855705113,0,285,18
Shared room in aparthotel,Shared room,1,1.0,1.0,1.0,within a few hours,96%,t,22.0,33.0,25.045305,121.525238,t,5,5,5,5,44,14,2,4.98,4.98,4.98,4.98,1.24,394.0,1.0,0.5,0.5,0.0034349030470914,3351.0,-351.0,0.0,360,513,50
Entire rental unit,Entire home/apt,4,1.5,1.0,2.0,within an hour,100%,t,24.0,27.0,37.97821,23.72648,t,22,52,57,143,205,9,0,4.88,4.94,4.93,4.86,2.87,67.0,8.0,0.2,0.3,0.0128699551569506,3116.0,-311.0,0.0386221007541881,222,487,32
Entire guest suite,Entire home/apt,2,1.0,2.0,2.0,within an hour,100%,t,1.0,1.0,32.625144958496094,-117.0454559326172,t,19,46,74,154,107,20,1,4.92,4.93,4.93,4.89,1.59,97.0,4.0,0.6666666666666666,0.3333333333333333,0.0075,2096.0,-344.0,0.0189296944860009,211,465,41
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,1.0,1.0,-37.81782,144.99645,t,0,0,22,291,222,7,0,4.82,4.71,4.94,4.76,2.32,306.0,2.0,0.3333333333333333,0.3333333333333333,0.0309333333333333,4021.0,-312.0,0.0991211380079952,74,517,47
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,f,9.0,9.0,35.5194,23.91093,t,0,0,0,136,0,0,0,,,,,,65.0,2.0,0.3333333333333333,0.3333333333333333,,2618.0,,,229,475,18
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,3.0,3.0,42.3376382,-71.03912129999999,t,7,10,18,189,97,94,2,4.85,4.93,4.84,4.72,7.4,156.0,2.0,0.3333333333333333,0.3333333333333333,0.0418079096045197,1811.0,-419.0,0.0866025403784438,176,475,44
Entire condo,Entire home/apt,4,1.0,0.0,2.0,,,f,97.0,116.0,40.6388374,22.9411742,t,26,56,86,361,2,2,0,4.0,4.0,3.5,3.0,0.47,91.0,8.0,0.0,0.2,0.094,3185.0,-301.0,0.478713553878169,4,208,15
Entire home,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,t,3.0,3.0,36.61646,27.83588,t,1,1,1,95,28,8,0,4.82,4.93,4.96,4.71,0.67,80.0,12.0,0.2,0.2,0.0024723247232472,1938.0,-270.0,0.113871272350258,270,475,65
Room in hotel,Private room,2,1.0,0.0,1.0,within a few hours,95%,f,143.0,143.0,21.28377,-157.82914,t,22,49,79,79,0,0,0,,,,,,172.0,2.0,0.0,0.3333333333333333,,3486.0,,,286,334,16
Entire rental unit,Entire home/apt,2,1.0,2.0,5.0,within an hour,100%,f,4.0,6.0,55.69164,12.53033,t,28,58,88,363,3,0,0,4.67,4.33,4.67,3.33,0.16,466.0,10.0,0.6666666666666666,0.3333333333333333,0.0533333333333333,3484.0,121.0,0.6339295439295022,2,424,7
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,t,1.0,1.0,-22.9621,-43.17419,t,0,8,8,8,21,13,1,4.9,4.76,5.0,4.86,1.27,555.0,8.0,0.2,0.2,0.0035474860335195,2167.0,-335.0,0.0993310961716757,357,400,30
Entire rental unit,Entire home/apt,4,1.0,0.0,1.0,within a few hours,100%,f,4.0,11.0,34.0986,-118.30758,t,30,60,89,89,22,0,0,4.45,4.64,4.32,4.32,0.37,99.0,4.0,0.0,0.2,0.0013357400722021,1447.0,203.0,0.1512999228904845,276,341,31
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,within a few hours,100%,f,13.0,15.0,44.4906732302864,11.2914814129669,t,21,51,69,69,0,0,0,,,,,,353.0,12.0,0.4,0.2,,1627.0,,,296,285,28
Entire rental unit,Entire home/apt,9,2.0,4.0,4.0,,,f,3.0,4.0,40.95318,17.29553,t,0,0,0,0,2,0,0,5.0,5.0,4.5,4.5,0.05,300.0,36.0,0.4,0.2,0.0001366120218579,2328.0,504.0,0.2886751345948128,365,484,44
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,f,9.0,10.0,48.86990446152359,2.3094681275154607,t,0,27,57,149,2,1,1,5.0,5.0,5.0,5.0,0.14,180.0,2.0,0.3333333333333333,0.3333333333333333,0.0006451612903225,4578.0,-324.0,0.0,216,281,42
Entire rental unit,Entire home/apt,6,2.0,2.0,4.0,within an hour,100%,f,1.0,1.0,41.12056426387106,16.78324222085697,t,28,58,88,361,0,0,0,,,,,,60.0,24.0,0.2857142857142857,0.2857142857142857,,-334.0,,,4,527,5
Entire home,Entire home/apt,6,1.5,2.0,2.0,within an hour,100%,f,6.0,7.0,35.16539,24.58277,t,23,53,83,317,26,0,0,4.73,4.23,4.73,4.81,0.49,58.0,12.0,0.2857142857142857,0.2142857142857142,0.01,2659.0,101.0,0.2660200493697168,48,479,36
Entire condo,Entire home/apt,4,1.0,1.0,2.0,within an hour,99%,f,62.0,72.0,29.9545479,-90.0743526,t,0,0,0,0,1,0,0,3.0,5.0,5.0,3.0,0.04,209.0,8.0,0.2,0.2,0.0001092896174863,700.0,260.0,1.1547005383792517,365,41,35
Private room in home,Private room,4,1.5,1.0,2.0,within an hour,100%,f,7.0,8.0,51.46136,-0.08711,t,28,57,87,359,87,21,1,4.47,4.64,4.47,4.47,1.46,79.0,8.0,0.2,0.3,0.2085714285714285,1505.0,-329.0,0.0849999999999999,6,518,41
Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,within an hour,100%,f,3.0,3.0,37.5457,15.12988,t,0,7,37,37,1,1,0,5.0,5.0,5.0,5.0,0.16,70.0,2.0,0.3333333333333333,0.3333333333333333,0.0004863221884498,2709.0,-172.0,0.0,328,475,29
Private room in vacation home,Private room,2,1.0,1.0,1.0,,,f,1.0,1.0,41.15811,16.76853,t,30,60,90,180,14,6,0,4.71,4.71,4.71,4.43,0.35,77.0,2.0,0.3333333333333333,0.3333333333333333,0.0018817204301075,3544.0,-272.0,0.1400000000000001,185,432,44
Entire rental unit,Entire home/apt,4,1.0,1.0,4.0,within an hour,100%,t,2.0,2.0,56.94525,24.07133,t,1,16,46,321,149,21,1,4.99,4.98,4.9,4.97,1.51,42.0,16.0,0.2,0.2,0.0335555555555555,2608.0,-342.0,0.0408248290463862,44,492,30
Dome,Entire home/apt,8,2.5,3.0,5.0,within an hour,100%,t,4.0,4.0,36.46172695977904,25.376440525054928,t,0,0,0,209,5,0,0,4.8,5.0,5.0,4.8,0.16,1000.0,40.0,0.3333333333333333,0.2777777777777778,0.0010191082802547,2789.0,139.0,0.1154700538379252,156,0,67
Private room in farm stay,Private room,16,1.0,1.0,9.0,,,f,1.0,1.0,40.226337885431526,18.44141845853425,t,29,59,89,269,0,0,0,,,,,,37.0,144.0,0.0588235294117647,0.0588235294117647,,112.0,,,96,67,22
Entire rental unit,Entire home/apt,8,3.0,4.0,6.0,within an hour,96%,,84.0,271.0,35.92001,14.49179,t,24,26,36,216,67,8,0,4.19,4.33,4.87,4.09,0.55,408.0,48.0,0.4444444444444444,0.3333333333333333,0.0036666666666666,4334.0,-308.0,0.3475629439396553,149,379,42
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,f,3.0,3.0,41.12922,16.86713,t,30,60,90,363,1,0,0,5.0,5.0,5.0,5.0,0.02,135.0,6.0,0.25,0.25,0.0066666666666666,1635.0,861.0,0.0,2,418,17
Entire guesthouse,Entire home/apt,3,1.0,2.0,2.0,,,f,4.0,5.0,40.27241,18.42917,t,0,0,0,222,0,0,0,,,,,,155.0,6.0,0.5,0.25,,3497.0,,,143,479,13
Entire condo,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,t,16.0,19.0,26.1285815,-80.1039507,t,10,24,54,325,24,24,0,4.96,4.92,4.96,4.92,2.04,390.0,8.0,0.2,0.2,0.0497560975609756,2667.0,-329.0,0.023094010767585,40,512,76
Private room in townhouse,Private room,1,1.5,1.0,1.0,,,f,3.0,8.0,-33.88536,151.21483,t,30,60,90,91,2,0,0,5.0,5.0,5.0,5.0,0.03,120.0,1.0,0.5,0.75,0.0001090909090909,3349.0,1516.0,0.0,274,529,46
Private room in rental unit,Private room,1,1.5,1.0,1.0,within an hour,100%,t,4.0,4.0,59.92085,10.74995,t,30,60,90,365,127,4,1,4.79,4.75,4.85,4.76,0.81,571.0,1.0,0.5,0.75,0.81,4368.0,-337.0,0.0449999999999998,0,477,45
Entire rental unit,Entire home/apt,6,2.0,3.0,4.0,within an hour,100%,f,23.0,30.0,-37.8229226,144.9639272,t,16,44,74,75,26,22,0,4.85,4.88,4.96,4.92,1.81,252.0,24.0,0.4285714285714285,0.2857142857142857,0.0062199312714776,2881.0,-369.0,0.047871355387817,290,316,52
Entire condo,Entire home/apt,4,1.0,1.0,2.0,within a day,60%,f,79.0,279.0,36.09589,-115.20845,t,0,0,13,119,0,0,0,,,,,,155.0,8.0,0.2,0.2,,1965.0,,,246,518,41
Entire home,Entire home/apt,6,1.0,2.0,3.0,within an hour,100%,t,3.0,3.0,30.28503,-97.77289,t,22,52,82,357,44,3,0,4.8,4.59,4.95,4.75,0.46,170.0,18.0,0.2857142857142857,0.1428571428571428,0.0511111111111111,2869.0,-293.0,0.1484082207965584,8,71,30
Entire rental unit,Entire home/apt,1,1.0,1.0,2.0,within a few hours,100%,f,2.0,2.0,19.28936,-99.16304,t,0,16,46,226,15,0,0,5.0,5.0,5.0,5.0,0.21,790.0,2.0,0.5,0.5,0.0015,1786.0,32.0,0.0,139,515,24
Entire home,Entire home/apt,6,1.0,2.0,6.0,within an hour,100%,t,4.0,6.0,13.87746,100.59693,t,0,22,51,141,17,17,2,4.59,4.47,4.24,4.59,2.49,691.0,36.0,0.2857142857142857,0.1428571428571428,0.0110666666666666,519.0,-339.0,0.1649999999999998,224,546,23
Private room in condo,Private room,2,1.0,1.0,1.0,within an hour,100%,t,2.0,4.0,51.47574,-0.16548,t,8,28,58,148,111,30,2,4.72,4.61,4.68,4.68,1.28,52.0,2.0,0.3333333333333333,0.3333333333333333,0.0058715596330275,3520.0,-321.0,0.0457347424467072,217,521,19
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,f,1.0,1.0,-22.968224674525736,-43.38775869259034,t,0,0,26,301,0,0,0,,,,,,999.0,2.0,0.3333333333333333,0.3333333333333333,,1278.0,,,64,423,6
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within a few hours,100%,t,2.0,3.0,37.72687,-122.42178,t,2,32,61,61,13,3,0,4.62,4.23,4.31,4.62,0.14,121.0,8.0,0.4,0.2,0.0004590163934426,2980.0,-362.0,0.2046948949045872,304,230,27
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a day,100%,t,1.0,1.0,51.20461,4.42308,t,9,13,14,74,38,20,2,4.97,4.92,4.84,4.89,1.49,106.0,2.0,0.3333333333333333,0.3333333333333333,0.0051027397260273,2234.0,-349.0,0.0544671154612272,291,487,25
Private room in home,Private room,3,2.0,2.0,2.0,within a few hours,67%,f,3.0,7.0,-33.85019,151.18044,t,30,60,90,365,18,0,0,4.83,4.5,5.0,4.78,0.16,117.0,6.0,0.5,0.5,0.16,4196.0,1439.0,0.2075853238229202,0,297,35
Entire home,Entire home/apt,8,2.0,4.0,4.0,within an hour,100%,f,127.0,200.0,41.702219,2.869368,t,0,0,0,32,18,2,0,4.89,4.67,4.89,4.67,0.26,100.0,32.0,0.4444444444444444,0.2222222222222222,0.0007784431137724,2574.0,-243.0,0.1270170592217175,333,498,22
Entire rental unit,Entire home/apt,5,1.0,2.0,4.0,within an hour,100%,t,1.0,1.0,52.51416,13.30659,t,11,34,62,74,199,38,1,4.85,4.61,4.88,4.72,2.7,125.0,20.0,0.3333333333333333,0.1666666666666666,0.0092465753424657,1877.0,-334.0,0.1244989959798871,291,483,59
Private room in home,Private room,2,1.5,1.0,1.0,within a day,100%,f,2.0,4.0,53.37823,-6.2684,t,19,49,79,167,7,1,0,4.86,5.0,4.86,4.57,0.09,120.0,2.0,0.3333333333333333,0.5,0.0004522613065326,4232.0,-244.0,0.1808083700127475,198,348,16
Entire guesthouse,Entire home/apt,2,1.0,0.0,1.0,,,t,1.0,1.0,37.79812983303447,-122.19788584030051,t,0,0,0,169,29,9,0,5.0,5.0,4.97,4.93,1.29,120.0,2.0,0.0,0.3333333333333333,0.0065482233502538,3490.0,-312.0,0.0331662479035541,196,467,61
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,f,13.0,13.0,40.01534,18.40483,t,29,59,89,236,0,0,0,,,,,,100.0,2.0,0.3333333333333333,0.3333333333333333,,1673.0,,,129,442,11
Entire vacation home,Entire home/apt,6,2.0,3.0,7.0,within an hour,100%,f,1.0,1.0,40.28774,17.85692,t,30,60,90,284,7,1,0,5.0,5.0,4.86,4.57,0.17,250.0,42.0,0.4285714285714285,0.2857142857142857,0.0020731707317073,1597.0,-189.0,0.20271079563424,81,401,55
Room in boutique hotel,Hotel room,2,1.0,1.0,1.0,within an hour,100%,f,32.0,33.0,48.88734,2.33571,t,29,59,82,82,21,5,0,4.52,4.52,4.81,4.38,0.28,101.0,2.0,0.3333333333333333,0.3333333333333333,0.0009859154929577,2506.0,-291.0,0.1808083700127475,283,74,12
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,within an hour,100%,f,131.0,180.0,48.17253,16.38028,t,1,1,1,1,40,33,1,4.35,4.3,4.55,4.55,2.41,51.0,18.0,0.2857142857142857,0.1428571428571428,0.0066027397260273,1895.0,-418.0,0.1314977819838292,364,467,40
Entire home,Entire home/apt,8,3.0,4.0,5.0,within a few hours,100%,t,2.0,2.0,51.90498,-8.85054,t,23,24,24,59,41,4,0,4.73,4.68,4.76,4.71,0.66,300.0,40.0,0.4444444444444444,0.3333333333333333,0.0021498371335504,1735.0,-228.0,0.033665016461207,306,171,47
Room in hotel,Hotel room,8,4.0,4.0,4.0,within an hour,99%,f,2873.0,4538.0,30.33914,-97.70402,t,0,0,0,0,0,0,0,,,,,,560.0,32.0,0.4444444444444444,0.4444444444444444,,315.0,,,365,488,25
Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,within an hour,100%,f,5.0,8.0,37.07333,25.13412,t,0,0,0,218,15,6,0,4.67,5.0,4.8,4.47,0.37,295.0,12.0,0.4,0.4,0.0025,916.0,-268.0,0.2227853974867593,147,160,33
Entire rental unit,Entire home/apt,8,1.0,2.0,3.0,within an hour,100%,f,82.0,84.0,32.70871,-97.34678,t,18,45,73,282,28,28,3,4.61,4.68,4.64,4.68,2.67,92.0,24.0,0.2222222222222222,0.1111111111111111,0.0317857142857142,582.0,-424.0,0.0340342964277699,83,467,51
Entire serviced apartment,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,2.0,2.0,39.76107,-104.90693,t,28,58,88,360,15,5,0,4.93,5.0,4.87,4.93,0.56,168.0,2.0,0.3333333333333333,0.3333333333333333,0.0933333333333333,1178.0,-246.0,0.0531507290636732,5,330,55
Entire home,Entire home/apt,5,1.0,2.0,3.0,within an hour,100%,f,1.0,1.0,51.46465,-2.55713,t,17,41,71,326,148,41,2,4.53,4.44,4.45,4.36,2.51,89.0,15.0,0.3333333333333333,0.1666666666666666,0.06275,1432.0,-353.0,0.0695221787153806,39,379,33
Entire home,Entire home/apt,6,2.0,3.0,5.0,within an hour,100%,t,36.0,52.0,-38.30001,144.99425,t,25,55,85,360,39,27,1,4.85,4.77,4.85,4.77,2.09,263.0,30.0,0.4285714285714285,0.2857142857142857,0.3483333333333333,438.0,-420.0,0.0461880215351701,5,507,40
Casa particular,Entire home/apt,2,2.0,1.0,1.0,,,f,1.0,4.0,-23.02678,-43.49863,t,29,59,89,89,2,0,0,4.5,3.5,4.5,4.5,0.08,600.0,2.0,0.3333333333333333,0.6666666666666666,0.0002888086642599,4640.0,328.0,0.5,276,237,27
Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,within an hour,100%,f,16.0,17.0,51.52321,-0.2139,t,10,40,70,345,47,15,0,4.64,4.62,4.62,4.55,1.57,178.0,18.0,0.2857142857142857,0.1428571428571428,0.0747619047619047,613.0,-301.0,0.03947573094109,20,500,54
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,,,f,2.0,2.0,40.9537765,17.2973785,t,29,59,89,364,0,0,0,,,,,,160.0,12.0,0.4,0.2,,1268.0,,,1,66,6
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,2.0,3.0,45.77188325087734,4.826446945247318,t,6,23,47,221,2,2,0,5.0,5.0,4.5,4.5,0.5,59.0,2.0,0.3333333333333333,0.3333333333333333,0.0034482758620689,3087.0,-370.0,0.2886751345948128,144,462,25
Entire rental unit,Entire home/apt,7,2.0,2.0,4.0,within an hour,100%,f,2.0,2.0,45.4510364,9.1403324,t,4,15,22,87,6,6,2,4.83,4.67,4.67,4.83,2.5,82.0,28.0,0.25,0.25,0.0089605734767025,-231.0,-427.0,0.0923760430703402,278,464,43
Entire serviced apartment,Entire home/apt,5,1.0,1.0,1.0,within an hour,100%,f,58.0,76.0,1.2967540415161,103.8400103347904,t,25,55,85,360,1,1,0,5.0,5.0,5.0,4.0,0.18,270.0,5.0,0.1666666666666666,0.1666666666666666,0.03,3689.0,-195.0,0.5,5,249,26
Private room in bed and breakfast,Private room,1,1.0,1.0,1.0,a few days or more,0%,t,3.0,3.0,37.85172,15.29021,t,0,0,0,0,129,1,0,4.93,5.0,4.96,4.89,1.13,55.0,1.0,0.5,0.5,0.003087431693989,3114.0,-127.0,0.0465474668125632,365,216,36
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,f,151.0,466.0,32.81446,-96.78999,t,13,43,73,348,23,6,1,4.7,4.57,4.74,4.7,0.39,145.0,6.0,0.25,0.25,0.0216666666666666,2562.0,-413.0,0.0741057802513856,17,468,48
Entire rental unit,Entire home/apt,5,3.0,3.0,3.0,within an hour,100%,f,197.0,257.0,35.91154,14.47511,t,15,43,66,322,9,9,0,4.67,4.89,4.78,4.78,1.27,97.0,15.0,0.5,0.5,0.0288636363636363,4240.0,-253.0,0.0898146239020497,43,235,38
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,99%,f,841.0,853.0,40.44258,-3.70168,t,30,60,90,331,0,0,0,,,,,,389.0,2.0,0.3333333333333333,0.3333333333333333,,1326.0,,,34,295,27
Entire rental unit,Entire home/apt,2,1.0,0.0,2.0,within an hour,100%,f,2.0,3.0,41.98577,-87.6563,t,1,1,1,1,26,9,0,4.0,4.42,4.42,3.92,0.45,158.0,4.0,0.0,0.3333333333333333,0.0012328767123287,1448.0,-287.0,0.267581763205193,364,423,46
Entire villa,Entire home/apt,8,4.0,4.0,5.0,within an hour,100%,f,1.0,1.0,36.31605,28.18721,t,0,0,0,160,0,0,0,,,,,,307.0,40.0,0.4444444444444444,0.4444444444444444,,1279.0,,,205,503,58
Private room in home,Private room,2,1.0,1.0,1.0,,,f,48.0,49.0,37.63941769304992,-122.45834963290862,t,6,34,64,153,15,15,0,4.8,4.8,4.8,4.73,1.88,65.0,2.0,0.3333333333333333,0.3333333333333333,0.0088262910798122,1746.0,-318.0,0.0349999999999997,212,448,24
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,within an hour,91%,f,4.0,4.0,51.42382237665752,-0.2064295014813285,t,4,4,4,62,3,3,3,5.0,5.0,5.0,5.0,3.0,128.0,8.0,0.4,0.4,0.0098684210526315,295.0,-339.0,0.0,303,60,30
Entire vacation home,Entire home/apt,5,1.0,2.0,1.0,a few days or more,33%,f,4.0,4.0,38.0339355,12.8369475,t,0,0,0,212,0,0,0,,,,,,113.0,5.0,0.3333333333333333,0.1666666666666666,,322.0,,,153,386,15
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,t,1.0,1.0,-30.9028661,153.0626795,t,23,50,64,64,28,28,3,4.93,4.93,4.89,4.86,6.13,147.0,2.0,0.3333333333333333,0.3333333333333333,0.0202980132450331,2407.0,-411.0,0.0340342964277699,301,497,39
Entire loft,Entire home/apt,2,1.0,2.0,2.0,within an hour,100%,t,1.0,1.0,48.86257,2.35686,t,10,10,10,10,172,22,5,4.76,4.7,4.96,4.69,1.66,133.0,4.0,0.6666666666666666,0.3333333333333333,0.0046629213483146,2823.0,-335.0,0.1255322003843368,355,514,39
Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,within an hour,100%,f,32.0,42.0,39.84195,3.13006,t,27,34,64,300,16,4,0,4.94,4.75,4.88,4.75,0.25,162.0,8.0,0.4,0.3,0.0037878787878787,3759.0,-369.0,0.0955684745788764,65,469,33
Entire rental unit,Entire home/apt,3,1.0,1.0,3.0,within an hour,100%,f,3.0,3.0,35.2926546,25.4332822,t,0,0,0,181,7,2,0,5.0,4.71,4.57,4.86,0.24,88.0,9.0,0.25,0.25,0.0012972972972972,3126.0,-191.0,0.1859211302317911,184,0,42
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,f,1.0,1.0,50.8356286,4.3296302,t,8,11,15,204,37,37,8,4.65,4.62,4.49,4.68,9.82,86.0,8.0,0.4,0.2,0.0606172839506172,-316.0,-435.0,0.0836660026534074,161,324,38
Entire condo,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,f,1.0,3.0,40.46687,17.26606,t,6,6,6,97,19,3,0,4.95,5.0,4.53,5.0,0.58,67.0,12.0,0.2,0.2,0.0021561338289962,630.0,-265.0,0.2278888618018293,268,421,43
Entire home,Entire home/apt,2,1.0,1.0,1.0,within a day,100%,f,2.0,2.0,41.1882,16.67315,t,30,60,90,325,2,2,0,5.0,5.0,5.0,5.0,0.54,112.0,2.0,0.3333333333333333,0.3333333333333333,0.013170731707317,77.0,-288.0,0.0,40,307,15
Room in hotel,Private room,2,1.0,0.0,2.0,within an hour,100%,f,5.0,5.0,26.00973,-80.14695,t,29,59,89,179,7,0,0,3.57,4.29,4.57,3.86,0.26,169.0,4.0,0.0,0.3333333333333333,0.0013903743315508,808.0,359.0,0.4444003450343697,186,362,24
Entire home,Entire home/apt,8,2.0,3.0,3.0,within an hour,70%,f,37.0,97.0,36.96596,-121.89497,t,28,55,83,353,10,1,0,4.4,4.7,4.7,3.8,0.25,348.0,24.0,0.3333333333333333,0.2222222222222222,0.0192307692307692,3080.0,-279.0,0.4242640687119287,12,155,30
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,f,1.0,1.0,52.34619929999999,4.8910059,t,29,59,89,272,9,8,0,5.0,4.89,5.0,4.78,0.36,304.0,6.0,0.25,0.25,0.0038297872340425,2351.0,-294.0,0.1053169818531971,93,508,51
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a few hours,100%,f,1.0,1.0,48.83577010296908,2.3207778130180494,t,1,1,30,30,4,4,0,5.0,5.0,5.0,5.0,0.45,145.0,2.0,0.3333333333333333,0.3333333333333333,0.0013392857142857,3130.0,-131.0,0.0,335,449,35
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,f,9.0,9.0,-42.88677,147.33135,t,6,17,38,274,79,15,0,4.87,4.95,4.97,4.8,1.47,212.0,2.0,0.3333333333333333,0.3333333333333333,0.0159782608695652,1195.0,-360.0,0.078049129826454,91,510,22
Entire home,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,f,1.0,1.0,35.50694,23.96444,t,0,0,0,124,20,4,0,4.95,5.0,4.85,4.95,0.25,40.0,2.0,0.3333333333333333,0.3333333333333333,0.0010330578512396,2306.0,-206.0,0.0629152869605897,241,386,36
Room in bed and breakfast,Hotel room,2,1.0,1.0,1.0,within an hour,100%,f,10.0,10.0,38.16916,12.73532,t,0,0,0,105,1,0,0,5.0,4.0,4.0,4.0,0.02,90.0,2.0,0.3333333333333333,0.3333333333333333,7.662835249042145e-05,4494.0,1310.0,0.5,260,265,18
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,f,174.0,201.0,49.26814061725438,-123.102182903023,t,12,42,72,347,0,0,0,,,,,,156.0,6.0,0.25,0.25,,1862.0,,,18,466,44
