property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_bedroom,amenities_count,host_tenure_days,description_len,availability_30_ratio,days_since_last_review
Entire villa,Entire home/apt,8,2.0,3.0,4.0,within an hour,100%,0.0,3.0,3.0,38.0474,13.00633,1.0,0,1,30,295,14,1,0,4.86,4.79,4.69,4.85,0.16,140.0,1.3333333333333333,51,3147.0,374,0.0,133.0
Entire home,Entire home/apt,3,1.5,2.0,2.0,within an hour,100%,1.0,1.0,2.0,34.0024,-118.46369,1.0,4,34,64,237,227,30,3,4.95,4.93,4.92,4.84,2.11,252.0,1.0,54,4520.0,450,0.1333333333333333,18.0
Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,within a few hours,100%,1.0,6.0,6.0,37.97857,23.75143,1.0,24,52,82,341,4,4,0,5.0,5.0,4.75,5.0,1.21,195.0,1.0,36,938.0,408,0.8,131.0
Entire rental unit,Entire home/apt,6,3.0,3.0,3.0,within an hour,89%,0.0,1.0,1.0,43.77964196702898,11.244843969311518,1.0,17,21,27,190,75,28,0,4.69,4.67,4.61,4.67,3.02,140.0,1.0,35,772.0,284,0.5666666666666667,71.0
Entire condo,Entire home/apt,2,1.0,1.0,1.0,,,1.0,2.0,2.0,41.96661,3.23064,1.0,24,54,84,188,177,8,0,4.73,4.61,4.95,4.68,2.65,216.0,1.0,60,4315.0,424,0.8,217.0
Entire rental unit,Entire home/apt,8,2.0,2.0,8.0,within an hour,97%,0.0,30.0,35.0,51.56175,0.07737,1.0,30,60,90,365,29,8,1,4.83,4.52,4.83,4.72,0.69,169.0,4.0,21,3235.0,498,1.0,110.0
Entire home,Entire home/apt,2,1.0,1.0,1.0,,,0.0,1.0,1.0,37.10084,13.93632,1.0,28,58,88,363,0,0,0,,,,,,42.0,1.0,20,385.0,146,0.9333333333333332,
Private room in loft,Private room,3,1.0,1.0,2.0,,,0.0,3.0,3.0,45.49994659423828,9.150930404663086,1.0,21,37,37,37,15,0,0,4.6,4.6,4.2,4.47,0.42,150.0,2.0,27,1626.0,449,0.7,864.0
Entire home,Entire home/apt,4,1.0,2.0,3.0,within a few hours,100%,0.0,2.0,2.0,48.2256537,16.4418027,1.0,0,0,2,48,10,3,0,4.9,4.7,4.9,4.7,0.51,134.0,1.5,57,768.0,71,0.0,203.0
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within a few hours,100%,1.0,6.0,6.0,36.3588,25.40045,1.0,0,0,0,158,80,5,0,4.92,4.95,4.81,4.84,1.0,77.0,2.0,58,2820.0,470,0.0,196.0
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,1.0,1.0,1.0,44.94247,-93.24153,1.0,2,10,24,24,83,51,2,4.98,4.95,4.94,4.96,4.07,30.0,1.0,57,4835.0,515,0.0666666666666666,19.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,99%,0.0,45.0,86.0,41.37953,2.17718,1.0,11,11,11,98,10,1,0,4.4,4.3,4.4,4.0,0.15,40.0,1.0,22,4390.0,291,0.3666666666666666,226.0
Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,within an hour,76%,0.0,1430.0,3254.0,40.25536,17.92432,1.0,0,0,0,96,6,0,0,4.33,4.5,3.83,4.33,0.14,103.0,1.0,9,4151.0,247,0.0,909.0
Entire condo,Entire home/apt,2,1.5,1.0,4.0,,,0.0,1.0,1.0,48.8932714,2.3277853,,11,16,46,227,0,0,0,,,,,,80.0,4.0,37,1181.0,76,0.3666666666666666,
Private room in home,Private room,2,1.0,1.0,1.0,within an hour,100%,0.0,1.0,1.0,35.87656182650064,14.398685180950936,1.0,5,30,56,203,10,10,1,4.6,4.3,4.9,4.8,1.01,60.0,1.0,37,764.0,494,0.1666666666666666,89.0
Entire rental unit,Entire home/apt,5,1.0,3.0,3.0,within an hour,100%,1.0,1.0,1.0,44.48922,11.35583,1.0,8,19,35,297,53,47,0,4.89,4.94,4.91,4.77,3.61,227.0,1.0,39,4159.0,494,0.2666666666666666,54.0
Private room in rental unit,Private room,2,1.5,1.0,1.0,within an hour,91%,0.0,1.0,1.0,48.17441,16.37887,1.0,1,1,1,1,14,14,1,4.57,4.43,4.86,4.57,4.29,24.0,1.0,35,108.0,530,0.0333333333333333,36.0
Private room in guesthouse,Private room,2,3.5,1.0,1.0,within an hour,100%,0.0,65.0,69.0,50.83039,4.33343,1.0,13,33,55,136,61,57,0,4.72,4.8,4.49,4.7,4.47,41.0,1.0,42,963.0,443,0.4333333333333333,34.0
Entire home,Entire home/apt,6,2.0,3.0,3.0,,,0.0,1.0,1.0,40.66284,-73.75732,1.0,28,58,88,363,5,0,0,5.0,5.0,5.0,5.0,0.11,181.0,1.0,41,3055.0,412,0.9333333333333332,1166.0
Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,within an hour,100%,0.0,16.0,20.0,45.4785333,9.2141232,1.0,16,34,34,34,14,14,0,4.71,4.86,4.93,4.64,1.23,108.0,0.0,36,3328.0,478,0.5333333333333333,137.0
Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,within a few hours,97%,1.0,2.0,2.0,-22.96954,-43.39274,1.0,4,14,34,171,11,11,2,4.91,4.91,5.0,4.91,2.54,657.0,1.5,27,961.0,494,0.1333333333333333,95.0
Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,,,0.0,1.0,1.0,37.96592,23.72293,1.0,21,47,70,332,4,0,0,4.5,4.5,4.25,4.5,0.23,71.0,1.5,21,623.0,460,0.7,514.0
Entire villa,Entire home/apt,10,3.0,5.0,7.0,within an hour,100%,1.0,746.0,866.0,36.41814,28.13985,1.0,0,0,0,132,6,1,0,4.33,3.67,4.67,4.17,0.2,438.0,1.4,55,4495.0,306,0.0,255.0
Private room in condo,Private room,2,1.0,1.0,1.0,,,0.0,1.0,1.0,40.77369,-73.99237,1.0,30,60,90,365,7,0,0,4.71,4.57,4.57,5.0,0.08,128.0,1.0,17,2817.0,453,1.0,2485.0
Entire serviced apartment,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,0.0,21.0,21.0,53.47503697770173,-2.2811876765332366,1.0,26,56,86,93,3,3,3,4.33,5.0,5.0,5.0,3.0,127.0,2.0,43,442.0,558,0.8666666666666667,81.0
Entire condo,Entire home/apt,4,1.0,2.0,2.0,within an hour,100%,1.0,1.0,1.0,53.39258,-2.35295,1.0,23,50,80,168,151,39,2,4.95,4.93,4.97,4.87,3.86,139.0,1.0,48,3454.0,493,0.7666666666666667,94.0
Entire condo,Entire home/apt,3,1.0,1.0,0.0,within an hour,100%,1.0,8.0,9.0,37.96150233976639,23.72667301591748,1.0,21,51,81,356,19,19,0,4.89,4.89,4.63,4.89,2.51,48.0,0.0,34,477.0,485,0.7,110.0
Private room in rental unit,Private room,1,1.5,1.0,1.0,a few days or more,0%,0.0,2.0,2.0,41.38211,2.16657,1.0,29,59,89,364,0,0,0,,,,,,30.0,1.0,3,1913.0,375,0.9666666666666668,
Private room in bed and breakfast,Private room,1,1.0,1.0,1.0,within a day,55%,0.0,2.0,2.0,46.52823,6.61812,1.0,0,18,48,287,7,2,0,5.0,4.86,4.86,4.86,0.25,60.0,1.0,59,2853.0,155,0.0,178.0
Private room in home,Private room,3,1.0,1.0,3.0,within an hour,100%,1.0,1.0,1.0,39.66552734375,-105.01959991455078,1.0,30,60,90,180,29,5,0,4.86,4.97,4.62,4.76,0.87,74.0,3.0,54,1129.0,509,1.0,193.0
Entire serviced apartment,Entire home/apt,4,1.0,2.0,2.0,within a day,95%,0.0,38.0,63.0,40.42615,-3.69804,1.0,0,0,0,146,0,0,0,,,,,,92.0,1.0,29,1466.0,151,0.0,
Private room in home,Private room,6,1.0,2.0,2.0,within a day,97%,0.0,11.0,11.0,51.53974,-0.13817,1.0,17,21,21,257,94,17,1,4.74,4.67,4.86,4.68,1.01,123.0,1.0,40,4012.0,525,0.5666666666666667,118.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,0.0,7.0,61.0,39.75241622156344,-104.99996697383968,1.0,29,59,89,364,12,12,1,4.83,4.67,4.92,4.75,1.48,86.0,1.0,33,1117.0,207,0.9666666666666668,80.0
Entire home,Entire home/apt,4,1.0,2.0,3.0,within an hour,100%,0.0,3.0,3.0,53.76620819999999,-9.8093772,1.0,16,46,76,264,17,17,1,4.76,4.88,4.94,4.59,1.62,81.0,1.5,19,583.0,429,0.5333333333333333,113.0
Entire guesthouse,Entire home/apt,3,0.5,0.0,3.0,within an hour,100%,1.0,2.0,2.0,33.87363,-118.19465,1.0,0,0,27,117,43,3,0,4.98,4.93,4.88,5.0,0.77,76.0,,47,2170.0,246,0.0,134.0
Entire townhouse,Entire home/apt,8,3.0,4.0,6.0,within an hour,100%,0.0,24.0,46.0,42.31951,2.87967,1.0,25,55,85,217,4,4,0,5.0,5.0,5.0,5.0,0.51,387.0,1.5,34,3346.0,487,0.8333333333333334,206.0
Entire rental unit,Entire home/apt,3,1.0,2.0,1.0,within a day,50%,0.0,1.0,2.0,55.69886,12.52813,1.0,27,56,86,129,22,0,0,4.77,4.77,4.5,4.5,0.28,571.0,0.5,17,3497.0,28,0.9,565.0
Entire rental unit,Entire home/apt,5,1.0,1.0,3.0,within an hour,100%,0.0,1.0,1.0,34.16934413669366,-118.52599575915612,1.0,30,60,90,270,0,0,0,,,,,,88.0,3.0,19,595.0,499,1.0,
Entire home,Entire home/apt,8,2.5,3.0,5.0,within an hour,100%,0.0,57.0,230.0,-38.37335586547852,144.77853393554688,1.0,0,0,0,0,0,0,0,,,,,,965.0,1.6666666666666667,58,3585.0,225,0.0,
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,1.0,1.0,41.14434101991184,-8.613622775279312,1.0,0,11,20,260,18,18,3,4.94,5.0,5.0,5.0,4.7,120.0,1.0,30,127.0,317,0.0,11.0
Private room in rental unit,Private room,3,1.0,1.0,1.0,,,0.0,1.0,1.0,40.17515,18.17439,1.0,30,60,90,365,5,0,0,3.8,3.8,4.6,3.8,0.17,70.0,1.0,19,1828.0,324,1.0,915.0
Entire rental unit,Entire home/apt,4,1.0,2.0,4.0,within a day,100%,1.0,7.0,7.0,41.70131,2.84691,1.0,27,57,87,362,6,1,0,4.67,5.0,5.0,4.67,0.13,154.0,2.0,16,2767.0,336,0.9,313.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,,,0.0,1.0,1.0,48.8525722,2.3100785,1.0,0,0,0,94,0,0,0,,,,,,180.0,1.0,40,608.0,499,0.0,
Entire condo,Entire home/apt,4,0.0,2.0,2.0,within a day,100%,0.0,2.0,3.0,48.8937302,2.3128019,1.0,20,20,20,270,0,0,0,,,,,,150.0,1.0,11,3905.0,180,0.6666666666666666,
Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,within an hour,100%,0.0,65.0,86.0,26.30233926932896,-80.1292303491556,1.0,3,33,63,337,2,2,2,5.0,5.0,5.0,5.0,2.0,162.0,1.5,42,677.0,464,0.1,85.0
Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,within a few hours,93%,1.0,19.0,22.0,51.52314,-0.14075,1.0,29,59,89,269,1,1,0,5.0,5.0,5.0,5.0,0.73,95.0,,22,1145.0,560,0.9666666666666668,132.0
Entire rental unit,Entire home/apt,5,0.0,3.0,2.0,within an hour,100%,0.0,1.0,2.0,48.87483839974525,2.3920324180619925,1.0,10,18,31,96,11,6,1,4.91,5.0,4.91,4.91,0.73,200.0,0.6666666666666666,55,3945.0,455,0.3333333333333333,124.0
Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,within an hour,100%,0.0,1.0,2.0,-23.02881206498806,-43.47875165967549,1.0,7,30,60,60,11,10,0,4.91,4.91,4.91,4.91,0.81,600.0,1.0,23,487.0,468,0.2333333333333333,109.0
Entire home,Entire home/apt,5,1.0,3.0,3.0,within an hour,100%,0.0,1.0,2.0,-26.769475347197176,153.12751106908203,1.0,0,0,12,13,1,1,0,5.0,5.0,5.0,5.0,0.55,250.0,1.0,25,2140.0,497,0.0,73.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,1.0,33.0,39.0,32.88972,-96.7667,1.0,2,2,2,2,13,13,3,4.0,4.08,4.0,4.08,3.1,97.0,2.0,44,1993.0,462,0.0666666666666666,15.0
Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,within an hour,100%,0.0,2.0,4.0,-33.8938460592425,151.1435009358031,1.0,17,30,31,31,1,1,1,5.0,5.0,5.0,5.0,1.0,482.0,1.0,62,3003.0,528,0.5666666666666667,34.0
Entire condo,Entire home/apt,5,1.0,2.0,4.0,within an hour,100%,1.0,26.0,29.0,37.999111,23.76605,1.0,14,44,50,50,227,68,5,4.84,4.85,4.67,4.76,5.2,75.0,2.0,48,3635.0,431,0.4666666666666667,84.0
Room in hotel,Private room,2,1.0,1.0,,a few days or more,40%,,63.0,73.0,35.92035,14.49301,1.0,29,59,89,364,0,0,0,,,,,,200.0,,34,1495.0,505,0.9666666666666668,
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,a few days or more,29%,0.0,1.0,1.0,51.50944309269289,0.0157797548741571,1.0,30,60,90,365,0,0,0,,,,,,290.0,1.0,7,970.0,149,1.0,
Entire rental unit,Entire home/apt,4,2.0,2.0,1.0,within an hour,100%,0.0,4.0,9.0,-37.85244,145.04358,1.0,0,0,0,0,0,0,0,,,,,,324.0,0.5,30,1600.0,434,0.0,
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a day,100%,1.0,1.0,1.0,-34.142157196413905,18.425499871373177,1.0,17,18,18,259,39,13,1,4.9,4.87,4.97,4.97,1.69,850.0,1.0,51,767.0,446,0.5666666666666667,106.0
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,,,0.0,3629.0,3647.0,44.84717,-0.58045,1.0,19,38,68,309,1,1,0,4.0,4.0,5.0,4.0,0.61,106.0,1.0,32,1842.0,423,0.6333333333333333,54.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,0.0,4.0,87.0,-33.84745,151.20515,1.0,3,14,44,238,33,4,0,4.39,4.3,4.97,4.39,0.39,145.0,1.0,23,4412.0,503,0.1,47.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within an hour,100%,1.0,2.0,3.0,-22.98184,-43.19463,1.0,25,55,78,82,166,6,0,4.86,4.73,4.8,4.82,1.15,514.0,1.0,20,4441.0,116,0.8333333333333334,313.0
Entire rental unit,Entire home/apt,4,2.0,2.0,4.0,within an hour,100%,0.0,17.0,17.0,-26.4049308,153.1121695,1.0,26,35,58,186,0,0,0,,,,,,433.0,2.0,1,2597.0,451,0.8666666666666667,
Entire villa,Entire home/apt,4,2.0,1.0,1.0,within an hour,100%,1.0,31.0,43.0,21.00165,-156.660795,1.0,20,36,64,338,70,1,1,4.96,4.93,4.99,4.9,0.78,436.0,1.0,34,2892.0,395,0.6666666666666666,27.0
Room in hotel,Private room,1,1.0,1.0,1.0,within an hour,94%,1.0,8.0,11.0,48.87537,2.3183265,1.0,2,4,5,83,3,3,0,4.33,4.67,4.67,4.33,0.29,121.0,1.0,12,2005.0,393,0.0666666666666666,152.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,,,0.0,1.0,2.0,48.8610543,2.3442705,1.0,6,35,63,316,4,0,0,4.75,4.5,5.0,4.5,0.21,345.0,2.0,51,4116.0,0,0.2,621.0
Tiny home,Entire home/apt,4,1.0,2.0,3.0,,,1.0,1.0,1.0,41.46865,-71.51363,1.0,0,0,11,286,27,8,0,4.89,4.81,4.93,4.93,1.34,225.0,1.5,61,3531.0,230,0.0,204.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a day,100%,0.0,2.0,2.0,52.5471458,13.4100408,1.0,30,60,90,365,0,0,0,,,,,,80.0,1.0,53,4028.0,442,1.0,
Private room in rental unit,Private room,2,1.0,1.0,1.0,within a few hours,100%,0.0,3.0,5.0,35.917,14.50239,1.0,0,0,0,32,16,16,0,4.56,4.19,4.81,4.63,2.76,41.0,1.0,19,437.0,309,0.0,126.0
Entire home,Entire home/apt,8,2.0,4.0,4.0,within an hour,100%,1.0,2.0,2.0,37.84548766673314,-122.2726928888712,1.0,20,48,72,315,64,39,1,4.98,4.95,4.59,4.92,3.64,275.0,1.0,33,627.0,524,0.6666666666666666,103.0
Entire condo,Entire home/apt,6,2.0,2.0,4.0,within an hour,100%,0.0,415.0,557.0,20.71385,-156.44574,1.0,21,42,59,328,18,2,0,4.33,4.44,4.5,4.22,0.21,332.0,2.0,33,2842.0,260,0.7,266.0
Entire guesthouse,Entire home/apt,2,1.0,0.0,1.0,within an hour,100%,1.0,1.0,1.0,37.82256,-122.19684,1.0,3,10,30,30,235,11,0,4.99,4.99,4.95,4.95,2.73,125.0,,36,4228.0,530,0.1,113.0
Room in hotel,Private room,3,1.0,1.0,1.0,within an hour,100%,0.0,30.0,31.0,48.1355396,11.523874,1.0,25,55,85,356,0,0,0,,,,,,98.0,1.0,32,3221.0,514,0.8333333333333334,
Entire home,Entire home/apt,6,2.0,2.0,2.0,within a day,100%,0.0,1.0,1.0,48.88277573645497,-123.53333208308104,1.0,0,0,0,187,0,0,0,,,,,,176.0,1.0,22,1644.0,505,0.0,
Entire loft,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,0.0,20.0,21.0,40.41831,-3.67688,1.0,18,36,66,190,27,25,2,4.56,4.41,4.93,4.19,2.13,108.0,1.0,37,764.0,430,0.6,26.0
Entire home,Entire home/apt,5,1.0,3.0,3.0,within an hour,100%,0.0,1.0,1.0,44.88893,-0.50802,1.0,0,0,10,219,13,13,0,4.62,4.38,4.54,4.54,1.77,87.0,1.0,38,233.0,305,0.0,61.0
Private room in home,Private room,2,1.5,1.0,1.0,within an hour,100%,0.0,2.0,2.0,41.9383905,2.8398414,1.0,0,0,0,153,19,9,0,4.84,4.79,4.79,4.79,0.99,35.0,1.0,8,4090.0,151,0.0,165.0
Entire home,Entire home/apt,4,1.0,1.0,2.0,,,0.0,2.0,2.0,32.74428,-117.2538,1.0,24,50,80,160,5,5,2,5.0,5.0,4.8,4.8,1.63,185.0,2.0,57,3196.0,307,0.8,95.0
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,within a few hours,85%,0.0,13.0,21.0,-33.90721354733498,151.20605738519578,1.0,1,1,2,277,0,0,0,,,,,,217.0,1.0,31,1976.0,213,0.0333333333333333,
Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,within an hour,100%,1.0,1.0,1.0,40.72942,-74.00426,1.0,30,60,90,270,171,2,0,4.89,4.85,4.82,4.62,2.01,490.0,1.0,42,2594.0,100,1.0,134.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within a few hours,100%,1.0,2.0,2.0,39.45468423124213,-0.3908617418497913,1.0,22,49,79,79,73,26,0,4.84,4.79,4.62,4.82,2.98,89.0,1.0,48,1086.0,483,0.7333333333333333,101.0
Entire villa,Entire home/apt,9,3.0,4.0,5.0,within an hour,100%,0.0,2.0,2.0,37.5599502,25.193622,1.0,0,0,0,224,6,0,0,5.0,5.0,5.0,5.0,0.2,348.0,1.25,69,1008.0,405,0.0,545.0
Entire home,Entire home/apt,9,4.5,5.0,10.0,within an hour,100%,1.0,2.0,2.0,30.29046,-97.76824,1.0,20,50,80,167,27,1,0,4.96,4.93,4.89,5.0,0.28,669.0,2.0,21,2897.0,459,0.6666666666666666,305.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,0.0,1.0,1.0,34.144990016973686,-118.34343334161206,1.0,18,38,66,241,32,32,5,4.91,4.91,4.88,4.91,5.39,154.0,2.0,37,1649.0,438,0.6,26.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within a few hours,100%,0.0,1.0,5.0,40.41036957839372,-3.7314228994696026,1.0,22,52,82,357,2,2,1,5.0,5.0,5.0,4.5,1.54,32.0,1.0,7,2626.0,161,0.7333333333333333,31.0
Entire townhouse,Entire home/apt,9,1.0,4.0,6.0,,,0.0,1.0,1.0,41.18875,-8.65404,1.0,0,0,0,0,44,1,0,4.55,4.59,4.64,4.41,0.52,200.0,1.5,30,2612.0,548,0.0,228.0
Entire home,Entire home/apt,4,1.0,2.0,3.0,,,0.0,1.0,1.0,38.80048703067776,15.2384826913476,1.0,2,29,59,273,3,3,0,5.0,5.0,5.0,4.0,0.33,146.0,1.5,40,3825.0,549,0.0666666666666666,217.0
Entire townhouse,Entire home/apt,6,1.0,1.0,1.0,within an hour,100%,0.0,7.0,46.0,21.28712,-157.72238,1.0,30,60,90,365,6,0,0,4.83,5.0,4.83,4.5,0.19,198.0,1.0,65,2638.0,455,1.0,511.0
Entire serviced apartment,Entire home/apt,4,1.0,2.0,3.0,within an hour,100%,,9.0,15.0,19.4497998,-99.1905001,1.0,15,25,32,298,71,36,0,4.93,4.93,4.59,4.83,2.33,810.0,1.5,60,3405.0,381,0.5,110.0
Entire condo,Entire home/apt,4,1.0,1.0,2.0,,,0.0,1.0,1.0,-22.961509338779152,-43.21670228269028,,0,3,33,308,0,0,0,,,,,,799.0,2.0,51,3288.0,482,0.0,
Entire guesthouse,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,1.0,1.0,26.1073694,-80.18722319999999,1.0,19,46,76,350,11,11,1,4.91,4.82,4.82,4.82,1.1,73.0,1.0,23,1174.0,422,0.6333333333333333,88.0
Entire condo,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,1.0,2.0,3.0,20.72429,-156.44709,1.0,3,9,27,116,136,28,4,4.93,4.9,4.96,4.83,3.51,220.0,1.0,64,3860.0,472,0.1,24.0
Entire home,Entire home/apt,4,4.0,4.0,5.0,within an hour,100%,0.0,1.0,1.0,53.85694,-7.91653,1.0,30,60,90,270,7,7,0,5.0,5.0,5.0,5.0,1.43,229.0,1.25,41,362.0,302,1.0,180.0
Private room in rental unit,Private room,2,1.0,1.0,1.0,within a few hours,100%,0.0,1.0,2.0,26.00988441172233,-80.14962778213244,1.0,21,51,81,355,0,0,0,,,,,,69.0,1.0,9,1131.0,258,0.7,
Entire home,Entire home/apt,14,2.5,5.0,5.0,within an hour,100%,1.0,2.0,3.0,45.1509587,-93.0683217,1.0,9,31,41,175,2,2,2,4.5,5.0,5.0,5.0,2.0,281.0,1.0,55,3125.0,371,0.3,5.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within a day,100%,1.0,2.0,3.0,48.86977,2.31009,1.0,11,29,59,334,59,14,0,4.97,4.92,5.0,4.78,1.97,333.0,1.0,49,3929.0,408,0.3666666666666666,139.0
Entire rental unit,Entire home/apt,3,2.0,3.0,3.0,within a day,100%,0.0,23.0,69.0,37.79625,-122.43662,1.0,29,59,89,364,0,0,0,,,,,,875.0,1.0,23,3992.0,272,0.9666666666666668,
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,83%,0.0,1.0,1.0,46.1990862,6.160401999999999,1.0,0,0,12,12,0,0,0,,,,,,70.0,1.0,26,1963.0,278,0.0,
Private room in home,Private room,16,2.0,2.0,16.0,within an hour,100%,0.0,5.0,6.0,53.39977,-6.258,1.0,30,60,90,270,0,0,0,,,,,,200.0,8.0,2,498.0,78,1.0,
Entire condo,Entire home/apt,2,1.0,1.0,1.0,within an hour,97%,0.0,480.0,578.0,45.4780832,9.1896994,1.0,5,26,51,142,3,0,0,3.33,4.33,4.0,3.33,0.14,90.0,1.0,35,3675.0,495,0.1666666666666666,597.0
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within a day,90%,0.0,850.0,891.0,48.8486868,2.2643467,1.0,30,51,51,272,0,0,0,,,,,,159.0,1.0,28,1918.0,311,1.0,
Private room in condo,Private room,2,1.0,1.0,1.0,within an hour,93%,0.0,5.0,9.0,51.51831,-0.05678,1.0,4,34,64,64,97,29,1,4.56,4.39,4.52,4.54,3.52,60.0,1.0,43,2366.0,520,0.1333333333333333,108.0
Entire home,Entire home/apt,12,1.0,3.0,4.0,within an hour,100%,0.0,29.0,32.0,51.48416437479626,-2.5707855345480426,1.0,17,47,77,352,0,0,0,,,,,,83.0,1.3333333333333333,33,82.0,346,0.5666666666666667,
Private room in rental unit,Private room,3,1.0,1.0,2.0,within an hour,100%,0.0,20.0,22.0,41.39085,2.1677,1.0,20,50,80,355,11,11,3,4.55,4.55,4.82,4.64,2.73,82.0,2.0,11,140.0,342,0.6666666666666666,25.0
Entire home,Entire home/apt,8,3.5,3.0,3.0,within an hour,100%,0.0,1.0,1.0,51.49979,-0.16661,1.0,4,18,28,98,99,38,3,4.62,4.27,4.99,4.56,3.34,384.0,1.0,42,2185.0,523,0.1333333333333333,94.0
Entire guesthouse,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,0.0,1.0,1.0,45.47233,-122.64614,1.0,15,31,43,123,78,18,0,4.99,4.99,4.99,4.95,1.81,95.0,2.0,46,1370.0,493,0.5,104.0
Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,within an hour,100%,1.0,4.0,32.0,41.38766,2.17049,1.0,13,16,27,237,39,39,2,4.85,4.92,4.95,4.72,3.48,230.0,1.0,53,4414.0,184,0.4333333333333333,23.0
Private room in rental unit,Private room,2,1.5,1.0,2.0,,,0.0,6.0,6.0,43.74213,-79.2323,1.0,0,0,0,0,2,2,0,4.0,4.0,3.5,4.0,0.25,123.0,2.0,49,275.0,494,0.0,237.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,4.0,10.0,52.5476,13.34375,1.0,12,30,60,150,109,12,0,4.9,4.72,4.71,4.7,1.18,85.0,1.0,43,3127.0,159,0.4,136.0
Entire vacation home,Entire home/apt,5,1.0,2.0,3.0,within an hour,100%,,29.0,30.0,44.49686518346672,11.337483846032727,1.0,5,14,29,197,0,0,0,,,,,,139.0,1.5,33,496.0,490,0.1666666666666666,
Entire guesthouse,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,0.0,1.0,1.0,26.005203977499896,-80.1358391757434,1.0,14,34,63,149,9,9,2,5.0,5.0,5.0,5.0,3.07,79.0,1.0,9,1211.0,251,0.4666666666666667,82.0
Entire condo,Entire home/apt,6,1.0,3.0,4.0,within an hour,100%,1.0,2.0,2.0,45.69699073849982,9.682201261376964,1.0,13,28,43,233,18,7,0,4.94,4.83,4.72,4.83,0.81,148.0,1.3333333333333333,47,2437.0,235,0.4333333333333333,174.0
Entire condo,Entire home/apt,2,1.0,1.0,1.0,within an hour,100%,1.0,2.0,2.0,51.50281571427398,-0.2401277795433998,1.0,1,1,1,1,7,7,0,4.57,4.29,4.71,4.43,0.79,68.0,1.0,42,3330.0,301,0.0333333333333333,145.0
Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,within an hour,86%,,2.0,2.0,37.980688,23.7579735,1.0,30,60,90,365,6,6,0,4.5,4.5,4.5,4.33,0.96,49.0,1.0,23,274.0,351,1.0,166.0
Entire rental unit,Entire home/apt,3,1.0,2.0,1.0,within an hour,67%,0.0,7.0,7.0,40.92327,-8.27616,1.0,29,59,89,298,1,0,0,5.0,5.0,5.0,4.0,0.02,240.0,0.5,12,3830.0,314,0.9666666666666668,1608.0
Entire rental unit,Entire home/apt,6,1.0,2.0,6.0,within an hour,100%,0.0,11.0,37.0,36.02956,14.21822,1.0,8,16,16,16,46,5,0,4.61,4.63,4.85,4.59,0.43,67.0,3.0,44,3543.0,249,0.2666666666666666,203.0
