property_type,room_type,accommodates,bathrooms,bedrooms,beds,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,beds_per_bedroom,amenities_count,host_tenure_days,description_len,availability_30_ratio,days_since_last_review
Entire villa,Entire home/apt,12,4.5,5.0,0.0,within a day,98%,False,758.0,962.0,36.439619340978574,28.208990722259703,True,0,0,0,145,0,0,0,4.86,4.87,4.88,4.77,0.87,736.0,0.0,12,1089.0,330,0.0,unknown
Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,within an hour,100%,False,3.0,3.0,41.008598,17.0036504,True,28,58,88,88,1,1,1,5.0,5.0,5.0,5.0,1.0,73.0,2.0,29,106.0,491,0.9333333333333332,78.0
Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,missing,missing,False,1.0,1.0,45.47928,9.22154,True,23,53,83,83,0,0,0,4.86,4.87,4.88,4.77,0.87,95.0,1.0,21,241.0,417,0.7666666666666667,unknown
Entire home,Entire home/apt,8,3.0,3.0,5.0,within an hour,99%,True,83.0,242.0,29.96682,-90.08666,True,18,40,66,156,9,9,0,4.56,4.67,4.56,4.56,0.9,169.0,1.6666666666666667,34,2965.0,489,0.6,44.0
Entire guest suite,Entire home/apt,4,1.0,1.0,3.0,within an hour,100%,True,1.0,1.0,37.77503,-122.45629,True,19,42,71,71,45,20,1,4.96,4.96,5.0,4.82,1.9,236.0,3.0,70,2801.0,363,0.6333333333333333,25.0
Entire home,Entire home/apt,10,3.0,4.0,8.0,within an hour,100%,True,3.0,3.0,33.34167,-118.32436,True,5,22,30,203,174,41,3,4.99,4.97,5.0,4.93,3.23,505.0,2.0,37,1840.0,362,0.1666666666666666,19.0
Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,within an hour,99%,False,12.0,14.0,48.13683,11.60849,True,0,0,0,0,726,99,8,4.7,4.75,4.78,4.66,6.73,107.0,1.0,42,4945.0,224,0.0,81.0
Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,within an hour,100%,True,10.0,10.0,52.50682186807835,13.39880551653292,True,28,49,76,148,4,4,1,5.0,5.0,5.0,4.75,1.4,168.0,2.0,27,703.0,344,0.9333333333333332,104.0
Entire rental unit,Entire home/apt,7,2.0,2.0,3.0,a few days or more,14%,False,1.0,1.0,40.73844,-74.20877,True,27,57,87,362,5,0,0,5.0,5.0,4.6,5.0,0.32,189.0,1.5,50,2921.0,514,0.9,453.0
Private room in rental unit,Private room,4,1.0,2.0,2.0,missing,missing,False,1.0,1.0,40.57942281758896,-73.95640552507665,True,29,59,89,364,0,0,0,4.86,4.87,4.88,4.77,0.87,212.0,1.0,6,1352.0,407,0.9666666666666668,unknown
Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,within a few hours,73%,False,239.0,243.0,22.22122,-159.47167,True,30,60,90,90,1,0,0,5.0,5.0,5.0,5.0,0.04,329.0,1.5,25,1119.0,59,1.0,712.0
Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,within a few hours,80%,False,83.0,86.0,40.74926,-73.97643,True,30,60,90,365,1,0,0,4.0,4.0,5.0,5.0,0.02,130.0,unknown,23,2915.0,493,1.0,1444.0
Entire serviced apartment,Entire home/apt,6,2.0,2.0,2.0,within an hour,100%,False,58.0,76.0,1.2945864490836356,103.8380394171201,True,19,49,79,351,3,3,0,4.33,5.0,4.33,4.33,0.48,606.0,1.0,24,4120.0,348,0.6333333333333333,239.0
Entire rental unit,Entire home/apt,8,2.0,3.0,4.0,within an hour,100%,False,22.0,29.0,51.38786832689403,-0.2897029754684939,True,16,16,16,16,3,3,0,4.67,4.67,4.67,5.0,0.52,166.0,1.3333333333333333,23,1755.0,555,0.5333333333333333,145.0
